"﻿""Date""",Price,Open,High,Low,Vol.,Change %
"Nov 18, 2010",164.17,160.74,165,160.74,6.23M,3.68%
"Nov 19, 2010",164.82,163.95,164.99,162.84,4.47M,0.40%
"Nov 22, 2010",170.39,165.1,170.6,165,6.15M,3.38%
"Nov 23, 2010",168.2,168.61,168.81,164.62,6.47M,-1.29%
"Nov 24, 2010",177.25,171.53,177.89,171.53,10.06M,5.38%
"Nov 26, 2010",177.5,177.36,178.38,176.16,4.27M,0.14%
"Nov 29, 2010",179.49,179.99,181.84,177.57,9.70M,1.12%
"Nov 30, 2010",175.4,176.95,177.7,174.9,6.77M,-2.28%
"Dec 01, 2010",176.55,179.16,179.32,176,5.78M,0.66%
"Dec 02, 2010",176.53,176.86,177.45,173.92,5.54M,-0.01%
"Dec 03, 2010",175.68,175.5,176.4,174.05,4.91M,-0.48%
"Dec 06, 2010",178.05,175.52,178.43,174.6,5.66M,1.35%
"Dec 07, 2010",176.77,180.5,181.47,176.57,5.08M,-0.72%
"Dec 08, 2010",176.29,177.49,178.16,175.2,3.74M,-0.27%
"Dec 09, 2010",174.85,177.77,178.11,173.8,4.56M,-0.82%
"Dec 10, 2010",175.62,174.88,175.95,173.36,3.57M,0.44%
"Dec 13, 2010",174.25,176.33,177.94,173.73,4.21M,-0.78%
"Dec 14, 2010",173.94,174.28,175.76,173.09,3.69M,-0.18%
"Dec 15, 2010",175.57,173.72,179,173.59,5.82M,0.94%
"Dec 16, 2010",178.04,175.58,178.3,175.04,4.12M,1.41%
"Dec 17, 2010",177.58,178.41,178.75,177.02,4.51M,-0.26%
"Dec 20, 2010",183.29,179.27,183.98,178.04,8.74M,3.22%
"Dec 21, 2010",184.75,183.88,185.65,182.6,5.11M,0.80%
"Dec 22, 2010",184.76,185,185.45,184.11,2.58M,0.01%
"Dec 23, 2010",182.59,184.34,184.98,181.89,3.36M,-1.17%
"Dec 27, 2010",182.14,181.9,183.14,180.45,2.25M,-0.25%
"Dec 28, 2010",181.09,182.1,182.77,181.05,1.98M,-0.58%
"Dec 29, 2010",183.37,181.8,184.35,180.41,3.12M,1.26%
"Dec 30, 2010",182.75,183.92,184.55,182.75,1.96M,-0.34%
"Dec 31, 2010",180,181.96,182.3,179.51,3.45M,-1.50%
"Jan 03, 2011",184.22,181.37,186,181.21,5.33M,2.34%
"Jan 04, 2011",185.01,186.15,187.7,183.78,5.03M,0.43%
"Jan 05, 2011",187.42,184.1,187.45,184.07,3.42M,1.30%
"Jan 06, 2011",185.86,186.5,187.41,185.25,3.18M,-0.83%
"Jan 07, 2011",185.49,187.88,188.45,183.74,5.22M,-0.20%
"Jan 10, 2011",184.68,185.04,185.29,182.51,3.38M,-0.44%
"Jan 11, 2011",184.34,185.42,186,183.21,2.82M,-0.18%
"Jan 12, 2011",184.08,185.36,185.38,183.3,2.68M,-0.14%
"Jan 13, 2011",185.53,183.6,186.45,183.51,3.37M,0.79%
"Jan 14, 2011",188.75,185.5,188.94,184.92,3.66M,1.74%
"Jan 18, 2011",191.25,188.66,191.6,188.25,3.90M,1.32%
"Jan 19, 2011",186.87,190.9,191,186.21,3.89M,-2.29%
"Jan 20, 2011",181.96,185.29,186.85,181,5.72M,-2.63%
"Jan 21, 2011",177.42,183,183.25,176.84,6.81M,-2.50%
"Jan 24, 2011",176.85,177.95,178.49,174.15,5.60M,-0.32%
"Jan 25, 2011",176.7,175.5,176.75,174.28,4.65M,-0.08%
"Jan 26, 2011",175.39,177.51,177.89,174.63,3.76M,-0.74%
"Jan 27, 2011",184.45,177.48,185,177.31,14.59M,5.17%
"Jan 28, 2011",171.14,171.45,173.71,166.9,19.91M,-7.22%
"Jan 31, 2011",169.64,170.16,171.44,167.41,6.72M,-0.88%
"Feb 01, 2011",172.11,170.52,173.1,169.51,5.09M,1.46%
"Feb 02, 2011",173.53,171.42,175.2,170.87,4.55M,0.83%
"Feb 03, 2011",173.71,173.5,174.67,171.95,3.68M,0.10%
"Feb 04, 2011",175.93,174,177.19,173.75,4.35M,1.28%
"Feb 07, 2011",176.43,176.15,177.55,174.77,5.26M,0.28%
"Feb 08, 2011",183.06,176.66,183.11,176.59,7.80M,3.76%
"Feb 09, 2011",185.3,183.15,186.47,182.26,8.32M,1.22%
"Feb 10, 2011",186.21,184.39,187.24,183.6,5.33M,0.49%
"Feb 11, 2011",189.25,185.56,189.5,185.37,4.50M,1.63%
"Feb 14, 2011",190.42,189.25,191.4,188.35,4.07M,0.62%
"Feb 15, 2011",189.03,188.73,190.49,188.25,3.89M,-0.73%
"Feb 16, 2011",186.62,189.77,190,186.35,4.63M,-1.27%
"Feb 17, 2011",187.76,185.77,189.09,185.31,3.43M,0.61%
"Feb 18, 2011",186.5,187.54,188.5,185.13,4.18M,-0.67%
"Feb 22, 2011",180.42,183.68,184.72,179.32,5.64M,-3.26%
"Feb 23, 2011",176.68,180.25,181.15,174.39,5.49M,-2.07%
"Feb 24, 2011",177.75,176.86,179.75,174.56,4.66M,0.61%
"Feb 25, 2011",177.24,178.95,180.75,177.1,4.19M,-0.29%
"Feb 28, 2011",173.29,173.91,175.89,172.15,6.79M,-2.23%
"Mar 01, 2011",169.44,173.53,173.96,168.67,5.85M,-2.22%
"Mar 02, 2011",172.02,169.09,173.3,168.35,5.19M,1.52%
"Mar 03, 2011",172.79,173.71,174.46,172.05,4.14M,0.45%
"Mar 04, 2011",171.67,172.62,172.75,169.51,4.92M,-0.65%
"Mar 07, 2011",169.08,171.92,172.09,166.24,5.93M,-1.51%
"Mar 08, 2011",166.89,169.39,169.71,166.72,4.22M,-1.30%
"Mar 09, 2011",169.05,166.67,169.75,163.9,7.11M,1.29%
"Mar 10, 2011",166.14,167.07,168.47,164.82,6.00M,-1.72%
"Mar 11, 2011",168.07,165.5,169.2,164.12,4.61M,1.16%
"Mar 14, 2011",166.73,166.6,168.08,164.57,4.02M,-0.80%
"Mar 15, 2011",165.08,161.39,166.88,160.76,4.94M,-0.99%
"Mar 16, 2011",164.7,164.7,168.14,162.87,5.21M,-0.23%
"Mar 17, 2011",160.97,165.91,166.3,160.78,6.47M,-2.26%
"Mar 18, 2011",161.82,161.19,163.54,160.59,7.45M,0.53%
"Mar 21, 2011",164.53,163.37,165.79,161.72,4.06M,1.67%
"Mar 22, 2011",162.6,164.07,164.44,162.25,3.61M,-1.17%
"Mar 23, 2011",165.32,162.3,166.26,160.82,4.72M,1.67%
"Mar 24, 2011",171.1,168.21,172,167.36,6.29M,3.50%
"Mar 25, 2011",170.98,171.64,173.49,170.3,4.29M,-0.07%
"Mar 28, 2011",169.35,171.8,172.5,169.25,3.40M,-0.95%
"Mar 29, 2011",174.62,170.73,174.84,170.07,4.89M,3.11%
"Mar 30, 2011",179.42,177.78,181.16,177.66,6.86M,2.75%
"Mar 31, 2011",180.13,179.31,181.57,178.5,4.83M,0.40%
"Apr 01, 2011",180.13,181.58,183.25,178.59,5.69M,0.00%
"Apr 04, 2011",182.94,180.89,183.61,180.69,4.19M,1.56%
"Apr 05, 2011",185.29,182.1,186.36,181.8,5.57M,1.28%
"Apr 06, 2011",182.76,186.15,188.27,181.12,5.43M,-1.37%
"Apr 07, 2011",184.91,182.78,185.17,181.76,4.57M,1.18%
"Apr 08, 2011",184.71,185.26,186.22,182.78,3.73M,-0.11%
"Apr 11, 2011",184.04,184.86,186.49,181.85,3.30M,-0.36%
"Apr 12, 2011",180.48,183.06,184.59,179.42,5.34M,-1.93%
"Apr 13, 2011",182.29,180.83,182.88,179.8,4.23M,1.00%
"Apr 14, 2011",181.82,181.39,182.08,179.36,3.59M,-0.26%
"Apr 15, 2011",180.01,181,181.78,179.02,4.27M,-1.00%
"Apr 18, 2011",178.34,178.38,178.91,175.37,4.62M,-0.93%
"Apr 19, 2011",178.82,178.35,179.47,176.6,2.65M,0.27%
"Apr 20, 2011",183.87,181.62,185,181.59,4.07M,2.82%
"Apr 21, 2011",185.89,184.56,185.97,183.05,3.35M,1.10%
"Apr 25, 2011",185.42,185.65,186.35,183.77,3.44M,-0.25%
"Apr 26, 2011",182.3,186.27,186.42,180.74,11.24M,-1.68%
"Apr 27, 2011",196.63,183.2,197.8,182.75,23.62M,7.86%
"Apr 28, 2011",195.07,195.96,196.79,192.27,7.28M,-0.79%
"Apr 29, 2011",195.81,194.38,196.59,193.78,6.64M,0.38%
"May 02, 2011",201.19,196.57,203.42,196.18,9.40M,2.75%
"May 03, 2011",198.45,201,202.59,196.69,6.05M,-1.36%
"May 04, 2011",199.97,198.25,201.86,195.37,6.55M,0.77%
"May 05, 2011",197.11,198.66,201,196.12,4.64M,-1.43%
"May 06, 2011",197.6,199.1,199.56,196.56,4.02M,0.25%
"May 09, 2011",200.8,198.34,202.36,196.78,5.83M,1.62%
"May 10, 2011",203.94,201.94,205.29,201.56,5.89M,1.56%
"May 11, 2011",204.38,203.12,205.5,202.25,4.81M,0.22%
"May 12, 2011",206.07,204.22,206.19,200.62,4.82M,0.83%
"May 13, 2011",202.56,205.7,206.39,202.36,4.13M,-1.70%
"May 16, 2011",192.51,200.54,200.9,191.37,9.39M,-4.96%
"May 17, 2011",194.81,191.82,195.98,191.76,7.08M,1.19%
"May 18, 2011",197.09,194.13,198.28,193.25,4.96M,1.17%
"May 19, 2011",198.81,198.33,199.95,197.55,3.70M,0.87%
"May 20, 2011",198.65,197.95,199.8,197.24,3.38M,-0.08%
"May 23, 2011",196.22,195.56,197.29,192.02,4.23M,-1.22%
"May 24, 2011",193.27,197,197,193,2.97M,-1.50%
"May 25, 2011",192.26,193.57,194.35,191.14,4.66M,-0.52%
"May 26, 2011",195,191.24,196.45,190.88,4.08M,1.43%
"May 27, 2011",194.13,194.76,196.12,193.5,2.35M,-0.45%
"May 31, 2011",196.69,195.94,198.44,195.03,3.41M,1.32%
"Jun 01, 2011",192.4,196.06,197.26,192.05,3.45M,-2.18%
"Jun 02, 2011",193.65,192.28,194.44,190.56,3.05M,0.65%
"Jun 03, 2011",188.32,191.23,193.21,187.62,4.98M,-2.75%
"Jun 06, 2011",185.69,188.01,189.85,185.18,3.71M,-1.40%
"Jun 07, 2011",187.55,185.72,190.63,185.52,4.87M,1.00%
"Jun 08, 2011",188.05,187.45,189.81,186.32,3.72M,0.27%
"Jun 09, 2011",189.68,189.74,191.76,185.71,4.19M,0.87%
"Jun 10, 2011",186.53,189.25,190.77,186.28,3.76M,-1.66%
"Jun 13, 2011",186.29,186.81,189.31,184.86,3.87M,-0.13%
"Jun 14, 2011",189.96,188.99,190.72,187.07,3.96M,1.97%
"Jun 15, 2011",185.98,188.04,192.45,185.3,6.32M,-2.10%
"Jun 16, 2011",183.65,185.74,187,181.59,6.03M,-1.25%
"Jun 17, 2011",186.37,186.51,187.39,184.64,6.33M,1.48%
"Jun 20, 2011",187.72,185.96,188.85,185.57,2.83M,0.72%
"Jun 21, 2011",194.23,188.3,195,187.12,4.18M,3.47%
"Jun 22, 2011",191.63,193.96,195.2,191.32,3.13M,-1.34%
"Jun 23, 2011",194.16,189.5,194.46,188.3,4.62M,1.32%
"Jun 24, 2011",192.55,193.88,194.92,191.35,3.62M,-0.83%
"Jun 27, 2011",201.25,194.5,202.58,194.03,6.10M,4.52%
"Jun 28, 2011",202.35,201.92,202.88,200.6,3.83M,0.55%
"Jun 29, 2011",204.18,202.67,206.25,201.03,4.61M,0.90%
"Jun 30, 2011",204.49,200.78,205.2,200.5,4.45M,0.15%
"Jul 01, 2011",209.49,205.55,210.27,203.61,4.01M,2.45%
"Jul 05, 2011",213.19,208.76,214.45,208.73,3.59M,1.77%
"Jul 06, 2011",214.19,212.12,214.4,211.01,2.61M,0.47%
"Jul 07, 2011",216.74,215.09,217.8,215.09,3.15M,1.19%
"Jul 08, 2011",218.28,214.3,218.32,213.25,3.71M,0.71%
"Jul 11, 2011",212.55,216.74,217.5,211,4.03M,-2.63%
"Jul 12, 2011",211.23,214.64,215.65,211.12,3.99M,-0.62%
"Jul 13, 2011",213.5,214.7,216.83,212.14,4.23M,1.07%
"Jul 14, 2011",210.38,213.58,215.91,209.38,3.90M,-1.46%
"Jul 15, 2011",212.87,213.08,214.53,209.29,4.08M,1.18%
"Jul 18, 2011",211.53,212.53,213.39,208.29,2.90M,-0.63%
"Jul 19, 2011",218.06,213.77,218.4,213.77,4.44M,3.09%
"Jul 20, 2011",215.55,220.05,220.2,214.41,3.38M,-1.15%
"Jul 21, 2011",213.21,216.74,217.09,211.07,4.55M,-1.09%
"Jul 22, 2011",216.52,213.86,217.95,211.11,3.60M,1.55%
"Jul 25, 2011",213.49,215.49,216.08,213,3.35M,-1.40%
"Jul 26, 2011",214.18,214.99,215.6,210.35,9.86M,0.32%
"Jul 27, 2011",222.52,224.39,227.2,219.62,12.96M,3.89%
"Jul 28, 2011",223.9,223.27,225.95,220.23,5.36M,0.62%
"Jul 29, 2011",222.52,221.29,225.75,219.51,5.17M,-0.62%
"Aug 01, 2011",221.32,225,227.45,217.66,5.79M,-0.54%
"Aug 02, 2011",211.7,220.32,222.43,211.3,6.59M,-4.35%
"Aug 03, 2011",209.96,212.97,214.83,205.54,8.20M,-0.82%
"Aug 04, 2011",201.48,206.73,208,201.45,6.58M,-4.04%
"Aug 05, 2011",202.7,204.67,207.32,194.84,10.02M,0.61%
"Aug 08, 2011",193.7,196.4,200.39,190.05,10.43M,-4.44%
"Aug 09, 2011",205.09,196.7,205.09,190.46,10.50M,5.88%
"Aug 10, 2011",194.13,200.76,202.4,193.6,8.76M,-5.34%
"Aug 11, 2011",198.36,197.01,200.85,191.36,7.40M,2.18%
"Aug 12, 2011",202.3,200.28,204.56,197.21,5.62M,1.99%
"Aug 15, 2011",202.95,202.06,205.28,198.32,4.79M,0.32%
"Aug 16, 2011",197.68,201.14,201.39,194.75,5.21M,-2.60%
"Aug 17, 2011",195.93,198.53,199.6,193.74,3.99M,-0.89%
"Aug 18, 2011",182.52,191.21,191.34,179.72,8.28M,-6.84%
"Aug 19, 2011",178.93,180.29,190,177.55,7.25M,-1.97%
"Aug 22, 2011",177.54,182.83,184.2,177.1,5.31M,-0.78%
"Aug 23, 2011",193.55,178.92,194.84,178.52,7.35M,9.02%
"Aug 24, 2011",193.73,193.89,196.31,190.17,6.25M,0.09%
"Aug 25, 2011",192.03,194.41,196.99,191.07,3.76M,-0.88%
"Aug 26, 2011",199.27,191.24,199.72,189.6,5.31M,3.77%
"Aug 29, 2011",206.53,202.82,206.67,202.55,4.52M,3.64%
"Aug 30, 2011",210.92,205.78,212.49,204.32,5.92M,2.13%
"Aug 31, 2011",215.23,212.27,216.17,211.35,7.41M,2.04%
"Sep 01, 2011",212.54,215.28,217.64,211.62,5.28M,-1.25%
"Sep 02, 2011",210,208.94,210.69,207,4.24M,-1.20%
